DCID,CLUSTID,CID,CLUST_VM_Count,CLUST_HOST_Count, HOST_VMCount ,HOSTID
 6c7922e9-a5ad-4069-8d13-491c3f51d809:Datacenter:datacenter-2      , bec62af3-6c56-48f2-b2f5-c6a397192e5b      , 00000000-0000-0000-0000-000000000000 ,36,2,1, CZ29190F9S   
 6c7922e9-a5ad-4069-8d13-491c3f51d809:Datacenter:datacenter-2      , bec62af3-6c56-48f2-b2f5-c6a397192e5b      , 00000000-0000-0000-0000-000000000000 ,36,2,35, CZ29190F9R   
 3c524bd5-7201-48d6-957d-db7cdf8a75dd-Tampa                        , 34144781-2739-48a0-91d4-e3b8d7a1cbe3-demo , 00000000-0000-0000-0000-000000000006 ,97,4,10, 2M282207EW   
 3c524bd5-7201-48d6-957d-db7cdf8a75dd-Tampa                        , 34144781-2739-48a0-91d4-e3b8d7a1cbe3-demo , 00000000-0000-0000-0000-000000000006 ,97,4,33, 2M282207EQ   
 3c524bd5-7201-48d6-957d-db7cdf8a75dd-Tampa                        , 34144781-2739-48a0-91d4-e3b8d7a1cbe3-demo , 00000000-0000-0000-0000-000000000006 ,97,4,20, 2M282207ET   
 ff4d4636-5607-400e-9a76-09f8ebf7440f-LA                           , e9c19235-145f-4c3d-970c-0dad680f5171-demo , 00000000-0000-0000-0000-000000000006 ,6,1,6, 8D2XFD9      
 3c524bd5-7201-48d6-957d-db7cdf8a75dd-Tampa                        , 34144781-2739-48a0-91d4-e3b8d7a1cbe3-demo , 00000000-0000-0000-0000-000000000006 ,97,4,33, 2M282207EY   
 2453e3a0-c8e1-4840-b631-c1e9bba26552:Datacenter:datacenter-2      , f7258f42-e845-49d1-9b9c-708d07c8613e      , 00098d95-2a55-4607-a157-5bf0dec3dc33 ,34,2,17, CZ37497PF0   
 2453e3a0-c8e1-4840-b631-c1e9bba26552:Datacenter:datacenter-2      , f7258f42-e845-49d1-9b9c-708d07c8613e      , 00098d95-2a55-4607-a157-5bf0dec3dc33 ,34,2,17, CZ37497PF5   
 2453e3a0-c8e1-4840-b631-c1e9bba26552:Datacenter:datacenter-2      , c24468d1-08da-4e13-97eb-8d8fc82231ea      , 00098d95-2a55-4607-a157-5bf0dec3dc33 ,4,1,4, CZ37497PET   
 8862df0e-46c8-4e2d-be06-a5cd0df54c95:Datacenter:datacenter-21     , bc2f303f-f4d1-4ee1-8c43-bd9b8487bcc7      , 0028e62a-5db8-4da2-92d5-27696d29854d ,24,4,5, CZ29470QBD   
 8862df0e-46c8-4e2d-be06-a5cd0df54c95:Datacenter:datacenter-21     , a8a34cb3-ada4-415b-8fd4-749a83db7fe5      , 0028e62a-5db8-4da2-92d5-27696d29854d ,125,4,5, CZ29470QBJ   
 8862df0e-46c8-4e2d-be06-a5cd0df54c95:Datacenter:datacenter-21     , a8a34cb3-ada4-415b-8fd4-749a83db7fe5      , 0028e62a-5db8-4da2-92d5-27696d29854d ,125,4,56, CZ29470QBH   
 8862df0e-46c8-4e2d-be06-a5cd0df54c95:Datacenter:datacenter-21     , bc2f303f-f4d1-4ee1-8c43-bd9b8487bcc7      , 0028e62a-5db8-4da2-92d5-27696d29854d ,24,4,6, CZ29470QBG   
 8862df0e-46c8-4e2d-be06-a5cd0df54c95:Datacenter:datacenter-21     , a8a34cb3-ada4-415b-8fd4-749a83db7fe5      , 0028e62a-5db8-4da2-92d5-27696d29854d ,125,4,44, CZ29470QBK   
 8862df0e-46c8-4e2d-be06-a5cd0df54c95:Datacenter:datacenter-21     , bc2f303f-f4d1-4ee1-8c43-bd9b8487bcc7      , 0028e62a-5db8-4da2-92d5-27696d29854d ,24,4,9, CZ29470QBC   
 8862df0e-46c8-4e2d-be06-a5cd0df54c95:Datacenter:datacenter-21     , bc2f303f-f4d1-4ee1-8c43-bd9b8487bcc7      , 0028e62a-5db8-4da2-92d5-27696d29854d ,24,4,4, CZ29470QBF   
 8862df0e-46c8-4e2d-be06-a5cd0df54c95:Datacenter:datacenter-21     , a8a34cb3-ada4-415b-8fd4-749a83db7fe5      , 0028e62a-5db8-4da2-92d5-27696d29854d ,125,4,20, CZ29470QBL   
 8780d387-b596-4d29-b069-1cb9e2c891c7:Datacenter:datacenter-2      , 5e256138-3e74-4c2b-b415-5b84a26a68f7      , 00558dd8-d507-4d3f-90a9-4727a1c4154e ,26,2,8, CZ200703HR   
